Codice;Descrizione
1;UTENTE_INESISTENTE
2;UTENTE_NON_VALIDO
3;UTENTE_NON_ATTIVO
4;PASSWORD_NON_VALIDA
5;WSKEY_NON_VALIDA
6;WSKEY_ERRATA
7;WSKEY_NON_CORRISPONDENTE
8;ERRORE_CREAZIONE_TOKEN
9;ERRORE_AUTENTICAZIONE
10;ERRORE_PARAMETRO_ERRATO
11;SCHEDINA_FORMATO_NON_CORRETTO
12;SCHEDINA_CAMPO_NON_CORRETTO
13;SCHEDINA_ERRORE_GENERALE
14;SCHEDINA_ERRORE_STORE
40;APPARTAMENTO_CAMPO_NON_CORRETTO
41;APPARTAMENTO_ERRORE_STORE
50;ERRORE_RECUPERO_TABELLA
51;ERRORE_RECUPERO_RICEVUTA
60;SERVIZIO_IN_MANUTENZIONE
99;ERRORE_GENERALE
